DEPTH,CALI,DT,NPHI,PHIE,RHOB,SW,litho,VCLC,VDOL,VOL_SHALE,VSAN .V/V
2623.4136,6.9046,78.2378,0.1996,0.0058,2.344,0.9976,5,0.0,0.0,0.5834,0.3167
2623.566,6.417,78.413,0.1722,0.0315,2.3527,0.56,2,0.0,0.0,0.4797,0.4115
2623.7184,5.9461,78.5865,0.1362,0.0516,2.3607,0.3654,2,0.0,0.0,0.3893,0.4963
2623.8708,5.7786,78.5022,0.1242,0.0823,2.3686,0.237,6,0.0,0.0,0.2946,0.5756
2624.0232,5.6166,78.4152,0.1219,0.1107,2.3723,0.1811,6,0.0,0.0,0.2182,0.6359
2624.1756,5.6116,78.3283,0.1224,0.1328,2.3529,0.2225,6,0.0,0.0,0.1706,0.6691
2624.328,5.6291,78.2413,0.1328,0.142,2.3335,0.2444,6,0.0,0.0,0.1665,0.6646
2624.4804,5.6975,78.1544,0.1484,0.1293,2.3141,0.2563,6,0.0,0.0,0.2236,0.611
2624.6328,5.7876,78.0674,0.1823,0.0752,2.3266,0.2478,2,0.0,0.0,0.389,0.4731
2624.7852,5.9409,77.9956,0.2097,0.0296,2.3437,0.2633,5,0.0,0.0,0.5238,0.3622
2624.9376,5.9246,78.5146,0.2066,0.0088,2.3609,0.6743,5,0.0,0.0,0.5698,0.3295
2625.09,5.9011,79.051,0.1851,0.0074,2.4047,0.9759,5,0.0,0.0,0.5347,0.3717
2625.2424,5.7254,79.5874,0.1493,0.0292,2.4669,0.4795,2,0.0,0.0,0.4183,0.4851
2625.3948,5.651,80.1238,0.1273,0.0244,2.5292,0.4679,6,0.0,0.0,0.382,0.5319
2625.5472,5.6475,80.6602,0.1205,0.0589,2.5624,0.6528,6,0.0,0.107,0.286,0.502
2625.6996,5.6627,81.1971,0.123,0.0925,2.5309,0.3048,6,0.0,0.1159,0.2209,0.535
2625.852,5.6619,81.733,0.1445,0.1295,2.4993,0.4479,2,0.0,0.1924,0.1736,0.4765
2626.0044,5.6781,82.2694,0.1872,0.1748,2.468,0.3986,2,0.0,0.3647,0.1336,0.3053
2626.1568,5.7271,82.8058,0.2235,0.205,2.4436,0.4798,2,0.0,0.4966,0.1204,0.1586
2626.3092,5.6585,83.3526,0.2605,0.2209,2.4193,0.531,1,0.0,0.5915,0.1403,0.0247
2626.4616,5.6905,84.1799,0.283,0.2314,2.3949,0.5762,1,0.0,0.5912,0.1521,0.0008
2626.614,5.863,81.3671,0.286,0.2241,2.3988,0.5901,1,0.0007,0.5976,0.1529,0.0
2626.7664,5.8882,78.985,0.2446,0.1805,2.4122,0.6648,2,0.2313,0.3766,0.1823,0.0
2626.9188,6.0598,77.1857,0.2067,0.118,2.4257,0.5813,4,0.5727,0.0145,0.2538,0.0
2627.0712,5.7982,76.9523,0.1789,0.0832,2.4448,0.6763,2,0.2855,0.0001,0.3013,0.2814
2627.2236,5.7715,71.5372,0.1332,0.0482,2.4705,0.9845,6,0.0485,0.0,0.3025,0.5521
2627.376,5.8566,70.4316,0.1111,0.0373,2.4963,1.0,6,0.0013,0.0,0.2891,0.6258
2627.5284,5.9079,70.7377,0.0986,0.0275,2.5265,0.9946,6,0.0,0.0019,0.2858,0.6388
2627.6808,5.9074,71.0734,0.0876,0.0345,2.5767,0.7008,6,0.0,0.1059,0.2391,0.5819
2627.8332,5.8282,71.409,0.0833,0.063,2.6268,0.65,2,0.0,0.2955,0.1559,0.4605
2627.9856,5.5571,71.7447,0.0812,0.0569,2.677,0.3758,2,0.0,0.4027,0.1571,0.358
2628.138,5.771,72.0804,0.0805,0.0501,2.6754,0.3723,2,0.0,0.3762,0.1744,0.3713
2628.2904,5.6454,72.4161,0.0806,0.0314,2.6684,0.4702,2,0.0,0.3053,0.2217,0.4059
2628.4428,5.4707,72.7518,0.081,0.0158,2.6614,0.7279,2,0.0,0.2417,0.2626,0.4376
2628.5952,5.6415,73.0874,0.0817,0.0114,2.6197,0.6012,6,0.0,0.1135,0.2863,0.5427
2628.7476,5.7812,73.4231,0.0829,0.0188,2.5572,0.9733,6,0.0,0.0057,0.292,0.6364
2628.9,5.8095,73.7588,0.0868,0.0452,2.4946,0.7033,6,0.0,0.0,0.2595,0.6535
2629.0524,5.8205,75.1312,0.102,0.0589,2.446,0.5944,6,0.0,0.0,0.2715,0.6257
2629.2048,5.9513,75.3399,0.1438,0.0593,2.424,0.4786,6,0.0,0.0,0.3264,0.5617
2629.3572,6.4939,82.1239,0.1736,0.0553,2.4019,0.3061,2,0.0,0.0,0.4232,0.4533
2629.5096,6.7812,82.0472,0.204,0.0504,2.3803,0.2118,2,0.0,0.0,0.4765,0.3963
2629.662,6.4122,80.7633,0.2049,0.0533,2.3643,0.1762,2,0.0,0.0,0.469,0.4021
